timestamp,pickup,dropoff,stop,vehicle,time,date
6/3/2021 13:08,1,0,Huron,Mantra,13:05:00,6/3/2021
6/3/2021 13:31,0,1,Huron,Mantra,13:31:43,6/3/2021
6/4/2021 11:06,1,0,Ontario,Mantra,11:03:00,6/4/2021
6/4/2021 11:07,0,1,Huron,Mantra,11:07:00,6/4/2021
6/4/2021 12:43,1,0,Huron,Mantra,12:40:00,6/4/2021
6/4/2021 12:58,0,1,Ontario,Mantra,12:58:00,6/4/2021
6/4/2021 17:07,3,0,Huron,Wolverine,17:07:19,6/4/2021
6/4/2021 17:28,0,3,Huron,Wolverine,17:28:35,6/4/2021
6/7/2021 15:20,1,0,St. Claire,Lake,15:20:31,6/7/2021
6/7/2021 15:26,0,1,Michigan,Lake,15:26:25,6/7/2021
6/7/2021 15:34,1,0,St. Claire,Cloud,15:34:21,6/7/2021
6/7/2021 15:35,0,1,Erie,Cloud,15:35:24,6/7/2021
6/8/2021 8:00,1,0,Michigan,Cloud,7:57:00,6/8/2021
6/8/2021 8:24,0,1,Crystal,Cloud,8:22:00,6/8/2021
6/8/2021 11:17,2,0,Crystal,Cloud,11:15:00,6/8/2021
6/8/2021 11:31,0,2,Huron,Cloud,11:31:00,6/8/2021
6/8/2021 13:17,1,0,Beach,Wolverine,13:09:00,6/8/2021
6/8/2021 13:19,0,1,Huron,Wolverine,13:15:00,6/8/2021
6/8/2021 14:30,2,0,Michigan,Wolverine,14:28:00,6/8/2021
6/8/2021 14:46,0,2,Huron,Wolverine,14:43:00,6/8/2021
6/8/2021 15:09,1,0,Crystal,Wolverine,15:08:00,6/8/2021
6/8/2021 15:28,0,1,Michigan,Wolverine,15:28:00,6/8/2021
6/8/2021 17:23,1,0,Superior,Cloud,17:23:00,6/8/2021
6/8/2021 17:37,0,1,St. Claire,Cloud,17:57:00,6/8/2021
6/8/2021 18:08,1,0,Beach,Lake,18:05:00,6/8/2021
6/8/2021 18:23,1,0,Huron,Wolverine,18:16:00,6/8/2021
6/8/2021 18:25,0,1,St. Claire,Wolverine,18:21:00,6/8/2021
6/8/2021 18:27,0,1,Beach,Lake,18:26:00,6/8/2021
6/9/2021 7:58,1,0,Erie,Cloud,7:50:00,6/9/2021
6/9/2021 7:59,1,0,St. Claire,Lake,7:55:00,6/9/2021
6/9/2021 8:13,0,1,Erie,Cloud,8:12:00,6/9/2021
6/9/2021 8:17,0,1,Petoskey,Lake,8:16:00,6/9/2021
6/9/2021 11:08,1,0,Michigan,Lake,11:07:00,6/9/2021
6/9/2021 11:13,0,1,Beach,Lake,11:12:00,6/9/2021
6/9/2021 15:09,1,0,Erie,Wolverine,15:07:00,6/9/2021
6/9/2021 15:11,0,1,Michigan,Wolverine,15:11:00,6/9/2021
6/10/2021 8:03,1,0,Michigan,Lake,8:00:00,6/10/2021
6/10/2021 8:08,0,1,Crystal,Lake,8:05:00,6/10/2021
6/10/2021 15:17,1,0,St. Claire,Wolverine,15:15:00,6/10/2021
6/10/2021 15:21,0,1,Michigan,Wolverine,15:21:00,6/10/2021
6/10/2021 15:24,1,0,Ontario,Wolverine,15:21:00,6/10/2021
6/10/2021 15:47,0,1,St. Claire,Wolverine,15:34:00,6/10/2021
6/10/2021 16:57,0,1,Superior,Wolverine,16:50:00,6/10/2021
6/10/2021 17:17,1,0,Erie,Wolverine,16:40:00,6/10/2021
6/11/2021 16:31,2,0,Superior,Wolverine,15:46:00,6/11/2021
6/11/2021 16:32,0,2,Superior,Wolverine,16:08:00,6/11/2021
6/11/2021 17:55,1,0,Petoskey,Wolverine,17:54:00,6/11/2021
6/11/2021 17:58,0,1,Superior,Wolverine,17:58:00,6/11/2021
6/14/2021 7:16,1,0,Superior,Wolverine,7:15:00,6/14/2021
6/14/2021 7:22,0,1,Petoskey,Wolverine,7:21:00,6/14/2021
6/14/2021 10:55,1,1,Erie,Wolverine,11:48:00,6/14/2021
6/14/2021 15:09,1,0,St. Claire,Lake,15:07:00,6/14/2021
6/14/2021 15:12,0,1,Michigan,Lake,15:12:00,6/14/2021
6/15/2021 8:15,1,0,Michigan,Lake,8:12:00,6/15/2021
6/15/2021 8:20,0,1,Crystal,Lake,8:18:00,6/15/2021
6/15/2021 15:20,1,0,St. Claire,Mantra,15:19:00,6/15/2021
6/15/2021 15:24,0,1,Michigan,Mantra,15:24:00,6/15/2021
6/16/2021 8:00,1,0,Michigan,Lake,7:58:00,6/16/2021
6/16/2021 8:05,0,1,Crystal,Lake,8:04:00,6/16/2021
6/16/2021 11:08,1,0,Michigan,Lake,11:07:00,6/16/2021
6/16/2021 11:24,0,1,St. Claire,Lake,11:15:00,6/16/2021
6/16/2021 13:36,1,0,St. Claire,Wolverine,13:07:00,6/16/2021
